company, https://website
youtube, https://youtube.com
google, https://google.com
gmail, https://gmail.com
google drive, https://drive.google.com
spotify, https://spotify.com
twitter, https://twitter.com
microsoft, https://microsoft.com
amazon, https://amazon.com
facebook, https://facebook.com
instagram, https://instagram.com
messenger, https://messenger.com
whatsapp, https://whatsapp.com
twitch, https://twitch.tv
tiktok, https://tiktok.com
apple, https://apple.com
app store, https://apple.com/app-store/
zoom, https://zoom.us/
cash app, https://cash.app/
netflix, https://netflix.com
discord, https://discord.com
shopify, https://shopify.com
uber, https://uber.com
paypal, https://paypal.com
